"Date","Species","Area","meanITD"
2003,"B.hortorum","Belgium",5.56
2003,"B.lapidarius","Austria",6.15
2003,"B.lapidarius","Belgium",6.26166666666667
2003,"B.pascuorum","Austria",5.26
2003,"B.pascuorum","England",5.36666666666667
2003,"B.pratorum","Austria",5.39
2003,"B.pratorum","Belgium",5.3475
2004,"B.hortorum","Austria",5.75666666666667
2004,"B.hortorum","England",5.69333333333333
2004,"B.lapidarius","Austria",6.25666666666667
2004,"B.lapidarius","Belgium",6.358
2004,"B.pratorum","Belgium",5.67
2005,"B.hortorum","Belgium",5.94
2005,"B.lapidarius","Belgium",6.255
2005,"B.pratorum","Belgium",5.37333333333333
2005,"B.pratorum","England",5.45
2006,"B.lapidarius","Belgium",6.21
2006,"B.pascuorum","Austria",5.08333333333333
2006,"B.pratorum","Belgium",5.85
2007,"B.hortorum","Belgium",6
2007,"B.lapidarius","Austria",6.26333333333333
2007,"B.lapidarius","Belgium",6.425
2007,"B.pascuorum","Austria",5.02
2007,"B.pascuorum","Belgium",5.336
2007,"B.pratorum","Belgium",5.21
2008,"B.hortorum","Belgium",6.1
2008,"B.lapidarius","Belgium",6.326
2008,"B.pascuorum","Austria",5.13666666666667
2008,"B.pratorum","Austria",5.24333333333333
2008,"B.pratorum","Belgium",5.5
2009,"B.hortorum","Belgium",6.025
2009,"B.lapidarius","Belgium",6.18666666666667
2009,"B.pascuorum","Austria",4.935
2009,"B.pascuorum","Belgium",5.13
2009,"B.pratorum","Belgium",5.498
2009,"B.pratorum","England",5.4
2010,"B.hortorum","Belgium",6.15
2010,"B.lapidarius","Belgium",6.45
2010,"B.pascuorum","Belgium",5.38
2011,"B.hortorum","Belgium",5.99
2011,"B.hortorum","England",5.60333333333333
2011,"B.lapidarius","Belgium",6.27571428571429
2011,"B.lapidarius","England",6.32333333333333
2011,"B.pascuorum","Austria",4.9
2011,"B.pascuorum","Belgium",5.38
2011,"B.pascuorum","England",5.37
2011,"B.pratorum","Belgium",5.44333333333333
2011,"B.pratorum","England",5.41333333333333
2012,"B.hortorum","Austria",5.84666666666667
2012,"B.hortorum","Belgium",5.89
2012,"B.lapidarius","Austria",6.29333333333333
2012,"B.lapidarius","Belgium",6.236
2012,"B.pascuorum","Austria",5.02666666666667
2012,"B.pascuorum","Belgium",5.408
2012,"B.pratorum","Belgium",5.23
2013,"B.hortorum","Austria",5.89
2013,"B.hortorum","Belgium",6.33
2013,"B.lapidarius","Belgium",6.16833333333333
2013,"B.pascuorum","Belgium",5.166
2013,"B.pratorum","Austria",5.15
2013,"B.pratorum","Belgium",5.34
2014,"B.hortorum","Austria",5.89
2014,"B.hortorum","Belgium",5.87666666666667
2014,"B.lapidarius","Austria",6.39
2014,"B.lapidarius","Belgium",6.248
2014,"B.pascuorum","Austria",5.11666666666667
2014,"B.pascuorum","Belgium",5.596
2014,"B.pratorum","Belgium",5.4
2015,"B.hortorum","Belgium",6.25
2015,"B.hortorum","England",5.57
2015,"B.lapidarius","Austria",6.315
2015,"B.lapidarius","Belgium",6.33714285714286
2015,"B.lapidarius","England",6.31
2015,"B.pascuorum","Austria",5.17
2015,"B.pascuorum","Belgium",5.46
2015,"B.pascuorum","England",5.34
2015,"B.pratorum","Belgium",5.57
2015,"B.pratorum","England",5.40666666666667
2016,"B.hortorum","England",5.65
2016,"B.pascuorum","Belgium",5.12
2016,"B.pascuorum","England",5.44
2016,"B.pratorum","Belgium",5.5
2017,"B.pascuorum","Belgium",5.382
2017,"B.pratorum","Austria",5.18
2017,"B.pratorum","Belgium",5.72
